维度细分,实时因子名,授信因子名（离线推送至实时）,趋势类二次衍生,数值类型,解释,上线时间
FDC放款,idn_fdc_loan_quality_1_cnt,idn_fdc_loan_quality_1_cnt_c,idn_fdc_loan_quality_1_cnt_diff,double,当前逾期为0天的放款笔数,2025-06
FDC放款,idn_fdc_loan_quality_2_cnt,idn_fdc_loan_quality_2_cnt_c,idn_fdc_loan_quality_2_cnt_diff,double,"当前逾期为[1,30]天的放款笔数",2025-06
FDC放款,idn_fdc_loan_quality_3_cnt,idn_fdc_loan_quality_3_cnt_c,idn_fdc_loan_quality_3_cnt_diff,double,"当前逾期为[31,60]天的放款笔数",2025-06
FDC放款,idn_fdc_loan_quality_4_cnt,idn_fdc_loan_quality_4_cnt_c,idn_fdc_loan_quality_4_cnt_diff,double,"当前逾期为[61,90]天的放款笔数",2025-06
FDC放款,idn_fdc_loan_quality_5_cnt,idn_fdc_loan_quality_5_cnt_c,idn_fdc_loan_quality_5_cnt_diff,double,当前逾期>90天的放款笔数,2025-06
FDC放款,idn_fdc_loan_amt_sum,idn_fdc_loan_amt_sum_c,idn_fdc_loan_amt_sum_diff,double,放款金额求和,2025-06
FDC放款,idn_fdc_loan_vol_t1_amt_sum,idn_fdc_loan_vol_t1_amt_sum_c,idn_fdc_loan_vol_t1_amt_sum_diff,double,市场规模为t1的放款金额求和,2025-06
FDC放款,idn_fdc_loan_vol_t2_amt_sum,idn_fdc_loan_vol_t2_amt_sum_c,idn_fdc_loan_vol_t2_amt_sum_diff,double,市场规模为t2的放款金额求和,2025-06
FDC放款,idn_fdc_loan_vol_t3_amt_sum,idn_fdc_loan_vol_t3_amt_sum_c,idn_fdc_loan_vol_t3_amt_sum_diff,double,市场规模为t3的放款金额求和,2025-06
FDC放款,idn_fdc_loan_vol_t4_amt_sum,idn_fdc_loan_vol_t4_amt_sum_c,idn_fdc_loan_vol_t4_amt_sum_diff,double,市场规模为t4的放款金额求和,2025-06
FDC放款,idn_fdc_loan_risk_t1_amt_sum,idn_fdc_loan_risk_t1_amt_sum_c,idn_fdc_loan_risk_t1_amt_sum_diff,double,风险等级为t1的放款金额求和,2025-06
FDC放款,idn_fdc_loan_risk_t2_amt_sum,idn_fdc_loan_risk_t2_amt_sum_c,idn_fdc_loan_risk_t2_amt_sum_diff,double,风险等级为t2的放款金额求和,2025-06
FDC放款,idn_fdc_loan_risk_t3_amt_sum,idn_fdc_loan_risk_t3_amt_sum_c,idn_fdc_loan_risk_t3_amt_sum_diff,double,风险等级为t3的放款金额求和,2025-06
FDC放款,idn_fdc_loan_risk_t4_amt_sum,idn_fdc_loan_risk_t4_amt_sum_c,idn_fdc_loan_risk_t4_amt_sum_diff,double,风险等级为t4的放款金额求和,2025-06
FDC放款,idn_fdc_loan_risk_t5_amt_sum,idn_fdc_loan_risk_t5_amt_sum_c,idn_fdc_loan_risk_t5_amt_sum_diff,double,风险等级为t5的放款金额求和,2025-06
FDC放款,idn_fdc_loan_adkm_amt_sum,idn_fdc_loan_adkm_amt_sum_c,idn_fdc_loan_adkm_amt_sum_diff,double,ADAKAMI的放款金额求和,2025-06
FDC放款,idn_fdc_loan_esch_amt_sum,idn_fdc_loan_esch_amt_sum_c,idn_fdc_loan_esch_amt_sum_diff,double,EASYCASH的放款金额求和,2025-06
FDC放款,idn_fdc_loan_kdpt_amt_sum,idn_fdc_loan_kdpt_amt_sum_c,idn_fdc_loan_kdpt_amt_sum_diff,double,KREDITPINTAR的放款金额求和,2025-06
FDC放款,idn_fdc_loan_type_pl_amt_sum,idn_fdc_loan_type_pl_amt_sum_c,idn_fdc_loan_type_pl_amt_sum_diff,double,借款类型为先享后付的放款金额求和,2025-06
FDC放款,idn_fdc_loan_type_cl_amt_sum,idn_fdc_loan_type_cl_amt_sum_c,idn_fdc_loan_type_cl_amt_sum_diff,double,借款类型为现金分期的放款金额求和,2025-06
FDC放款,idn_fdc_loan_type_oth_amt_sum,idn_fdc_loan_type_oth_amt_sum_c,idn_fdc_loan_type_oth_amt_sum_diff,double,借款类型为其他的放款金额求和,2025-06
FDC放款,idn_fdc_loan_status_l_amt_sum,idn_fdc_loan_status_l_amt_sum_c,idn_fdc_loan_status_l_amt_sum_diff,double,借款状态为已结清的放款金额求和,2025-06
FDC放款,idn_fdc_loan_status_o_amt_sum,idn_fdc_loan_status_o_amt_sum_c,idn_fdc_loan_status_o_amt_sum_diff,double,借款状态为在贷的放款金额求和,2025-06
FDC放款,idn_fdc_loan_status_w_amt_sum,idn_fdc_loan_status_w_amt_sum_c,idn_fdc_loan_status_w_amt_sum_diff,double,借款状态为核销的放款金额求和,2025-06
FDC放款,idn_fdc_loan_quality_1_amt_sum,idn_fdc_loan_quality_1_amt_sum_c,idn_fdc_loan_quality_1_amt_sum_diff,double,当前逾期为0天的放款金额求和,2025-06
FDC放款,idn_fdc_loan_quality_2_amt_sum,idn_fdc_loan_quality_2_amt_sum_c,idn_fdc_loan_quality_2_amt_sum_diff,double,"当前逾期为[1,30]天的放款金额求和",2025-06
FDC放款,idn_fdc_loan_quality_3_amt_sum,idn_fdc_loan_quality_3_amt_sum_c,idn_fdc_loan_quality_3_amt_sum_diff,double,"当前逾期为[31,60]天的放款金额求和",2025-06
FDC放款,idn_fdc_loan_quality_4_amt_sum,idn_fdc_loan_quality_4_amt_sum_c,idn_fdc_loan_quality_4_amt_sum_diff,double,"当前逾期为[61,90]天的放款金额求和",2025-06
FDC放款,idn_fdc_loan_quality_5_amt_sum,idn_fdc_loan_quality_5_amt_sum_c,idn_fdc_loan_quality_5_amt_sum_diff,double,当前逾期>90天的放款金额求和,2025-06
FDC放款,idn_fdc_loan_os_cnt,idn_fdc_loan_os_cnt_c,idn_fdc_loan_os_cnt_diff,double,在贷笔数,2025-06
FDC放款,idn_fdc_loan_vol_t1_os_cnt,idn_fdc_loan_vol_t1_os_cnt_c,idn_fdc_loan_vol_t1_os_cnt_diff,double,市场规模为t1的在贷笔数,2025-06
FDC放款,idn_fdc_loan_vol_t2_os_cnt,idn_fdc_loan_vol_t2_os_cnt_c,idn_fdc_loan_vol_t2_os_cnt_diff,double,市场规模为t2的在贷笔数,2025-06
FDC放款,idn_fdc_loan_vol_t3_os_cnt,idn_fdc_loan_vol_t3_os_cnt_c,idn_fdc_loan_vol_t3_os_cnt_diff,double,市场规模为t3的在贷笔数,2025-06
FDC放款,idn_fdc_loan_vol_t4_os_cnt,idn_fdc_loan_vol_t4_os_cnt_c,idn_fdc_loan_vol_t4_os_cnt_diff,double,市场规模为t4的在贷笔数,2025-06
FDC放款,idn_fdc_loan_risk_t1_os_cnt,idn_fdc_loan_risk_t1_os_cnt_c,idn_fdc_loan_risk_t1_os_cnt_diff,double,风险等级为t1的在贷笔数,2025-06
FDC放款,idn_fdc_loan_risk_t2_os_cnt,idn_fdc_loan_risk_t2_os_cnt_c,idn_fdc_loan_risk_t2_os_cnt_diff,double,风险等级为t2的在贷笔数,2025-06
FDC放款,idn_fdc_loan_risk_t3_os_cnt,idn_fdc_loan_risk_t3_os_cnt_c,idn_fdc_loan_risk_t3_os_cnt_diff,double,风险等级为t3的在贷笔数,2025-06
FDC放款,idn_fdc_loan_risk_t4_os_cnt,idn_fdc_loan_risk_t4_os_cnt_c,idn_fdc_loan_risk_t4_os_cnt_diff,double,风险等级为t4的在贷笔数,2025-06
FDC放款,idn_fdc_loan_risk_t5_os_cnt,idn_fdc_loan_risk_t5_os_cnt_c,idn_fdc_loan_risk_t5_os_cnt_diff,double,风险等级为t5的在贷笔数,2025-06
FDC放款,idn_fdc_loan_adkm_os_cnt,idn_fdc_loan_adkm_os_cnt_c,idn_fdc_loan_adkm_os_cnt_diff,double,ADAKAMI的在贷笔数,2025-06
FDC放款,idn_fdc_loan_esch_os_cnt,idn_fdc_loan_esch_os_cnt_c,idn_fdc_loan_esch_os_cnt_diff,double,EASYCASH的在贷笔数,2025-06
FDC放款,idn_fdc_loan_kdpt_os_cnt,idn_fdc_loan_kdpt_os_cnt_c,idn_fdc_loan_kdpt_os_cnt_diff,double,KREDITPINTAR的在贷笔数,2025-06
FDC放款,idn_fdc_loan_type_pl_os_cnt,idn_fdc_loan_type_pl_os_cnt_c,idn_fdc_loan_type_pl_os_cnt_diff,double,借款类型为先享后付的在贷笔数,2025-06
FDC放款,idn_fdc_loan_type_cl_os_cnt,idn_fdc_loan_type_cl_os_cnt_c,idn_fdc_loan_type_cl_os_cnt_diff,double,借款类型为现金分期的在贷笔数,2025-06
FDC放款,idn_fdc_loan_type_oth_os_cnt,idn_fdc_loan_type_oth_os_cnt_c,idn_fdc_loan_type_oth_os_cnt_diff,double,借款类型为其他的在贷笔数,2025-06
FDC放款,idn_fdc_loan_status_l_os_cnt,idn_fdc_loan_status_l_os_cnt_c,idn_fdc_loan_status_l_os_cnt_diff,double,借款状态为已结清的在贷笔数,2025-06
FDC放款,idn_fdc_loan_status_o_os_cnt,idn_fdc_loan_status_o_os_cnt_c,idn_fdc_loan_status_o_os_cnt_diff,double,借款状态为在贷的在贷笔数,2025-06
FDC放款,idn_fdc_loan_status_w_os_cnt,idn_fdc_loan_status_w_os_cnt_c,idn_fdc_loan_status_w_os_cnt_diff,double,借款状态为核销的在贷笔数,2025-06
FDC放款,idn_fdc_loan_quality_1_os_cnt,idn_fdc_loan_quality_1_os_cnt_c,idn_fdc_loan_quality_1_os_cnt_diff,double,当前逾期为0天的在贷笔数,2025-06
FDC放款,idn_fdc_loan_quality_2_os_cnt,idn_fdc_loan_quality_2_os_cnt_c,idn_fdc_loan_quality_2_os_cnt_diff,double,"当前逾期为[1,30]天的在贷笔数",2025-06
FDC放款,idn_fdc_loan_quality_3_os_cnt,idn_fdc_loan_quality_3_os_cnt_c,idn_fdc_loan_quality_3_os_cnt_diff,double,"当前逾期为[31,60]天的在贷笔数",2025-06
FDC放款,idn_fdc_loan_quality_4_os_cnt,idn_fdc_loan_quality_4_os_cnt_c,idn_fdc_loan_quality_4_os_cnt_diff,double,"当前逾期为[61,90]天的在贷笔数",2025-06
FDC放款,idn_fdc_loan_quality_5_os_cnt,idn_fdc_loan_quality_5_os_cnt_c,idn_fdc_loan_quality_5_os_cnt_diff,double,当前逾期>90天的在贷笔数,2025-06
FDC放款,idn_fdc_loan_os_amt_sum,idn_fdc_loan_os_amt_sum_c,idn_fdc_loan_os_amt_sum_diff,double,在贷金额求和,2025-06
FDC放款,idn_fdc_loan_vol_t1_os_amt_sum,idn_fdc_loan_vol_t1_os_amt_sum_c,idn_fdc_loan_vol_t1_os_amt_sum_diff,double,市场规模为t1的在贷金额求和,2025-06
FDC放款,idn_fdc_loan_vol_t2_os_amt_sum,idn_fdc_loan_vol_t2_os_amt_sum_c,idn_fdc_loan_vol_t2_os_amt_sum_diff,double,市场规模为t2的在贷金额求和,2025-06
FDC放款,idn_fdc_loan_vol_t3_os_amt_sum,idn_fdc_loan_vol_t3_os_amt_sum_c,idn_fdc_loan_vol_t3_os_amt_sum_diff,double,市场规模为t3的在贷金额求和,2025-06
FDC放款,idn_fdc_loan_vol_t4_os_amt_sum,idn_fdc_loan_vol_t4_os_amt_sum_c,idn_fdc_loan_vol_t4_os_amt_sum_diff,double,市场规模为t4的在贷金额求和,2025-06
FDC放款,idn_fdc_loan_risk_t1_os_amt_sum,idn_fdc_loan_risk_t1_os_amt_sum_c,idn_fdc_loan_risk_t1_os_amt_sum_diff,double,风险等级为t1的在贷金额求和,2025-06
FDC放款,idn_fdc_loan_risk_t2_os_amt_sum,idn_fdc_loan_risk_t2_os_amt_sum_c,idn_fdc_loan_risk_t2_os_amt_sum_diff,double,风险等级为t2的在贷金额求和,2025-06
FDC放款,idn_fdc_loan_risk_t3_os_amt_sum,idn_fdc_loan_risk_t3_os_amt_sum_c,idn_fdc_loan_risk_t3_os_amt_sum_diff,double,风险等级为t3的在贷金额求和,2025-06
FDC放款,idn_fdc_loan_risk_t4_os_amt_sum,idn_fdc_loan_risk_t4_os_amt_sum_c,idn_fdc_loan_risk_t4_os_amt_sum_diff,double,风险等级为t4的在贷金额求和,2025-06
FDC放款,idn_fdc_loan_risk_t5_os_amt_sum,idn_fdc_loan_risk_t5_os_amt_sum_c,idn_fdc_loan_risk_t5_os_amt_sum_diff,double,风险等级为t5的在贷金额求和,2025-06
FDC放款,idn_fdc_loan_adkm_os_amt_sum,idn_fdc_loan_adkm_os_amt_sum_c,idn_fdc_loan_adkm_os_amt_sum_diff,double,ADAKAMI的在贷金额求和,2025-06
FDC放款,idn_fdc_loan_esch_os_amt_sum,idn_fdc_loan_esch_os_amt_sum_c,idn_fdc_loan_esch_os_amt_sum_diff,double,EASYCASH的在贷金额求和,2025-06
FDC放款,idn_fdc_loan_kdpt_os_amt_sum,idn_fdc_loan_kdpt_os_amt_sum_c,idn_fdc_loan_kdpt_os_amt_sum_diff,double,KREDITPINTAR的在贷金额求和,2025-06
FDC放款,idn_fdc_loan_type_pl_os_amt_sum,idn_fdc_loan_type_pl_os_amt_sum_c,idn_fdc_loan_type_pl_os_amt_sum_diff,double,先享后付且已结清的在贷金额求和,2025-06
FDC放款,idn_fdc_loan_type_cl_os_amt_sum,idn_fdc_loan_type_cl_os_amt_sum_c,idn_fdc_loan_type_cl_os_amt_sum_diff,double,先享后付且在贷的在贷金额求和,2025-06
FDC放款,idn_fdc_loan_type_oth_os_amt_sum,idn_fdc_loan_type_oth_os_amt_sum_c,idn_fdc_loan_type_oth_os_amt_sum_diff,double,先享后付且核销的在贷金额求和,2025-06
FDC放款,idn_fdc_loan_status_l_os_amt_sum,idn_fdc_loan_status_l_os_amt_sum_c,idn_fdc_loan_status_l_os_amt_sum_diff,double,现金分期且已结清的在贷金额求和,2025-06
FDC放款,idn_fdc_loan_status_o_os_amt_sum,idn_fdc_loan_status_o_os_amt_sum_c,idn_fdc_loan_status_o_os_amt_sum_diff,double,现金分期且在贷的在贷金额求和,2025-06
FDC放款,idn_fdc_loan_status_w_os_amt_sum,idn_fdc_loan_status_w_os_amt_sum_c,idn_fdc_loan_status_w_os_amt_sum_diff,double,现金分期且核销的在贷金额求和,2025-06
FDC放款,idn_fdc_loan_quality_1_os_amt_sum,idn_fdc_loan_quality_1_os_amt_sum_c,idn_fdc_loan_quality_1_os_amt_sum_diff,double,"先享后付且当前逾期为[1,30]天的在贷金额求和",2025-06
FDC放款,idn_fdc_loan_quality_2_os_amt_sum,idn_fdc_loan_quality_2_os_amt_sum_c,idn_fdc_loan_quality_2_os_amt_sum_diff,double,"先享后付且当前逾期为[31,60]天的在贷金额求和",2025-06
FDC放款,idn_fdc_loan_quality_3_os_amt_sum,idn_fdc_loan_quality_3_os_amt_sum_c,idn_fdc_loan_quality_3_os_amt_sum_diff,double,"先享后付且当前逾期为[61,90]天的在贷金额求和",2025-06
FDC放款,idn_fdc_loan_quality_4_os_amt_sum,idn_fdc_loan_quality_4_os_amt_sum_c,idn_fdc_loan_quality_4_os_amt_sum_diff,double,先享后付且当前逾期>90天的在贷金额求和,2025-06
FDC放款,idn_fdc_loan_quality_5_os_amt_sum,idn_fdc_loan_quality_5_os_amt_sum_c,idn_fdc_loan_quality_5_os_amt_sum_diff,double,现金分期且当前逾期为0天的在贷金额求和,2025-06
FDC放款,idn_fdc_loan_dpd_now_avg,idn_fdc_loan_dpd_now_avg_c,idn_fdc_loan_dpd_now_avg_diff,double,当前逾期天数平均值,2025-06
FDC放款,idn_fdc_loan_dpd_now_max,idn_fdc_loan_dpd_now_max_c,idn_fdc_loan_dpd_now_max_diff,double,当前逾期天数最大值,2025-06
FDC放款,idn_fdc_loan_dpd_now_min,idn_fdc_loan_dpd_now_min_c,idn_fdc_loan_dpd_now_min_diff,double,当前逾期天数最小值,2025-06
FDC放款,idn_fdc_loan_dpd_now_eq0_cnt,idn_fdc_loan_dpd_now_eq0_cnt_c,idn_fdc_loan_dpd_now_eq0_cnt_diff,double,当前逾期天数=0的放款笔数,2025-06
FDC放款,idn_fdc_loan_dpd_now_ge1_cnt,idn_fdc_loan_dpd_now_ge1_cnt_c,idn_fdc_loan_dpd_now_ge1_cnt_diff,double,当前逾期天数>=1的放款笔数,2025-06
FDC放款,idn_fdc_loan_dpd_now_ge3_cnt,idn_fdc_loan_dpd_now_ge3_cnt_c,idn_fdc_loan_dpd_now_ge3_cnt_diff,double,当前逾期天数>=3的放款笔数,2025-06
FDC放款,idn_fdc_loan_dpd_now_ge7_cnt,idn_fdc_loan_dpd_now_ge7_cnt_c,idn_fdc_loan_dpd_now_ge7_cnt_diff,double,当前逾期天数>=7的放款笔数,2025-06
FDC放款,idn_fdc_loan_dpd_now_ge14_cnt,idn_fdc_loan_dpd_now_ge14_cnt_c,idn_fdc_loan_dpd_now_ge14_cnt_diff,double,当前逾期天数>=14的放款笔数,2025-06
FDC放款,idn_fdc_loan_dpd_now_ge30_cnt,idn_fdc_loan_dpd_now_ge30_cnt_c,idn_fdc_loan_dpd_now_ge30_cnt_diff,double,当前逾期天数>=30的放款笔数,2025-06
FDC放款,idn_fdc_loan_dpd_max_avg,idn_fdc_loan_dpd_max_avg_c,idn_fdc_loan_dpd_max_avg_diff,double,最大逾期天数平均值,2025-06
FDC放款,idn_fdc_loan_dpd_max_max,idn_fdc_loan_dpd_max_max_c,idn_fdc_loan_dpd_max_max_diff,double,最大逾期天数最大值,2025-06
FDC放款,idn_fdc_loan_dpd_max_min,idn_fdc_loan_dpd_max_min_c,idn_fdc_loan_dpd_max_min_diff,double,最大逾期天数最小值,2025-06
FDC放款,idn_fdc_loan_dpd_max_eq0_cnt,idn_fdc_loan_dpd_max_eq0_cnt_c,idn_fdc_loan_dpd_max_eq0_cnt_diff,double,最大逾期天数=0的放款笔数,2025-06
FDC放款,idn_fdc_loan_dpd_max_ge1_cnt,idn_fdc_loan_dpd_max_ge1_cnt_c,idn_fdc_loan_dpd_max_ge1_cnt_diff,double,最大逾期天数>=1的放款笔数,2025-06
FDC放款,idn_fdc_loan_dpd_max_ge3_cnt,idn_fdc_loan_dpd_max_ge3_cnt_c,idn_fdc_loan_dpd_max_ge3_cnt_diff,double,最大逾期天数>=3的放款笔数,2025-06
FDC放款,idn_fdc_loan_dpd_max_ge7_cnt,idn_fdc_loan_dpd_max_ge7_cnt_c,idn_fdc_loan_dpd_max_ge7_cnt_diff,double,最大逾期天数>=7的放款笔数,2025-06
FDC放款,idn_fdc_loan_dpd_max_ge14_cnt,idn_fdc_loan_dpd_max_ge14_cnt_c,idn_fdc_loan_dpd_max_ge14_cnt_diff,double,最大逾期天数>=14的放款笔数,2025-06
FDC放款,idn_fdc_loan_dpd_max_ge30_cnt,idn_fdc_loan_dpd_max_ge30_cnt_c,idn_fdc_loan_dpd_max_ge30_cnt_diff,double,最大逾期天数>=30的放款笔数,2025-06
FDC放款,idn_fdc_last3d_inq_total_cnt,idn_fdc_last3d_inq_total_cnt_c,idn_fdc_last3d_inq_total_cnt_diff,double,近3天总查询次数,2025-06
FDC放款,idn_fdc_inq_hist_pcnt_3d,idn_fdc_inq_hist_pcnt_3d_c,idn_fdc_inq_hist_pcnt_3d_diff,double,近3天查询平台数,2025-06
FDC放款,idn_fdc_inq_hist_pcnt_7d,idn_fdc_inq_hist_pcnt_7d_c,idn_fdc_inq_hist_pcnt_7d_diff,double,近7天查询平台数,2025-06
FDC放款,idn_fdc_inq_hist_pcnt_30d,idn_fdc_inq_hist_pcnt_30d_c,idn_fdc_inq_hist_pcnt_30d_diff,double,近30天查询平台数,2025-06
FDC放款,idn_fdc_inq_hist_pcnt_90d,idn_fdc_inq_hist_pcnt_90d_c,idn_fdc_inq_hist_pcnt_90d_diff,double,近90天查询平台数,2025-06
FDC放款,idn_fdc_inq_hist_pcnt_180d,idn_fdc_inq_hist_pcnt_180d_c,idn_fdc_inq_hist_pcnt_180d_diff,double,近180天查询平台数,2025-06
FDC放款,idn_fdc_inq_hist_pcnt_360d,idn_fdc_inq_hist_pcnt_360d_c,idn_fdc_inq_hist_pcnt_360d_diff,double,近360天查询平台数,2025-06
FDC放款,idn_fdc_inq_hist_pcnt_gt360d,idn_fdc_inq_hist_pcnt_gt360d_c,idn_fdc_inq_hist_pcnt_gt360d_diff,double,360天以前的查询平台数,2025-06
FDC放款,idn_fdc_last3d_inq_total_pcnt,idn_fdc_last3d_inq_total_pcnt_c,idn_fdc_last3d_inq_total_pcnt_diff,double,近3天总查询平台数,2025-06
FDC放款,idn_fdc_last3d_inq_plt_inc_adkm,idn_fdc_last3d_inq_plt_inc_adkm_c,idn_fdc_last3d_inq_plt_inc_adkm_diff,double,近3天查询平台包含ADAKAMI,2025-06
FDC放款,idn_fdc_last3d_inq_plt_inc_esch,idn_fdc_last3d_inq_plt_inc_esch_c,idn_fdc_last3d_inq_plt_inc_esch_diff,double,近3天查询平台包含EASYCASH,2025-06
FDC放款,idn_fdc_last3d_inq_plt_inc_kdpt,idn_fdc_last3d_inq_plt_inc_kdpt_c,idn_fdc_last3d_inq_plt_inc_kdpt_diff,double,近3天查询平台包含KREDITPINTAR,2025-06
FDC放款,idn_fdc_last3d_inq_plt_vol_t1_pcnt,idn_fdc_last3d_inq_plt_vol_t1_pcnt_c,idn_fdc_last3d_inq_plt_vol_t1_pcnt_diff,double,近3天市场规模为t1的查询平台数,2025-06
FDC放款,idn_fdc_last3d_inq_plt_vol_t2_pcnt,idn_fdc_last3d_inq_plt_vol_t2_pcnt_c,idn_fdc_last3d_inq_plt_vol_t2_pcnt_diff,double,近3天市场规模为t2的查询平台数,2025-06
FDC放款,idn_fdc_last3d_inq_plt_vol_t3_pcnt,idn_fdc_last3d_inq_plt_vol_t3_pcnt_c,idn_fdc_last3d_inq_plt_vol_t3_pcnt_diff,double,近3天市场规模为t3的查询平台数,2025-06
FDC放款,idn_fdc_last3d_inq_plt_vol_t4_pcnt,idn_fdc_last3d_inq_plt_vol_t4_pcnt_c,idn_fdc_last3d_inq_plt_vol_t4_pcnt_diff,double,近3天市场规模为t4的查询平台数,2025-06
FDC放款,idn_fdc_last3d_inq_plt_risk_t1_pcnt,idn_fdc_last3d_inq_plt_risk_t1_pcnt_c,idn_fdc_last3d_inq_plt_risk_t1_pcnt_diff,double,近3天风险等级为t1的查询平台数,2025-06
FDC放款,idn_fdc_last3d_inq_plt_risk_t2_pcnt,idn_fdc_last3d_inq_plt_risk_t2_pcnt_c,idn_fdc_last3d_inq_plt_risk_t2_pcnt_diff,double,近3天风险等级为t2的查询平台数,2025-06
FDC放款,idn_fdc_last3d_inq_plt_risk_t3_pcnt,idn_fdc_last3d_inq_plt_risk_t3_pcnt_c,idn_fdc_last3d_inq_plt_risk_t3_pcnt_diff,double,近3天风险等级为t3的查询平台数,2025-06
FDC放款,idn_fdc_last3d_inq_plt_risk_t4_pcnt,idn_fdc_last3d_inq_plt_risk_t4_pcnt_c,idn_fdc_last3d_inq_plt_risk_t4_pcnt_diff,double,近3天风险等级为t4的查询平台数,2025-06
FDC放款,idn_fdc_last3d_inq_plt_risk_t5_pcnt,idn_fdc_last3d_inq_plt_risk_t5_pcnt_c,idn_fdc_last3d_inq_plt_risk_t5_pcnt_diff,double,近3天风险等级为t5的查询平台数,2025-06
Advance多头,idn_adv_id_inq_pcnt_24h,idn_adv_id_inq_pcnt_24h_c,idn_adv_id_inq_pcnt_24h_diff,double,身份证号在过去24小时内的查询机构数,2025-06
Advance多头,idn_adv_id_inq_pcnt_3d,idn_adv_id_inq_pcnt_3d_c,idn_adv_id_inq_pcnt_3d_diff,double,身份证号在过去3天内的查询机构数,2025-06
Advance多头,idn_adv_id_inq_pcnt_7d,idn_adv_id_inq_pcnt_7d_c,idn_adv_id_inq_pcnt_7d_diff,double,身份证号在过去7天内的查询机构数,2025-06
Advance多头,idn_adv_id_inq_pcnt_14d,idn_adv_id_inq_pcnt_14d_c,idn_adv_id_inq_pcnt_14d_diff,double,身份证号在过去14天内的查询机构数,2025-06
Advance多头,idn_adv_id_inq_pcnt_21d,idn_adv_id_inq_pcnt_21d_c,idn_adv_id_inq_pcnt_21d_diff,double,身份证号在过去21天内的查询机构数,2025-06
